,Auction Name,Days,Date,Winning Bid,Starting Bid,Currency,Hierarchy,Category 1,Category 2
22,B-WARE 2x Design Lehnstuhl Relaxsessel Esszimmer Stuhl Sessel Polstersessel,1,17 Feb 2021 at 10:47:25pm GMT,76,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
23,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",7,8 Feb 2021 at 9:21:15pm GMT,177,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
24,RRP €1790 MEMPHIS MILANO Flamingo Side Table Designed in 1984 Michele De Lucchi,10,10 Jan 2021 at 7:01:26pm GMT,805,0.99,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
25,Antiker Empire Esszimmer Tisch Tafel mit 6 Stühlen Stuhl Leder Spieltisch Poker,10,7 Feb 2021 at 4:38:38pm GMT,220,1,EUR,"Home, Furniture & DIY>Furniture>Table & Chair Sets",Furniture,Table & Chair Sets
26,Biedemeier Beistelltisch Näh Tisch Telefontisch Old table Echtholz empire 120cm,7,13 Feb 2021 at 10:27:43pm GMT,221,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
27,Biedemeier Beistelltisch Näh Tisch Telefontisch Old table Echtholz empire 65cm,7,14 Feb 2021 at 8:15:04pm GMT,120.9,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
28,B-WARE 2x Design Lehnstuhl Relaxsessel Esszimmer Stuhl Sessel Polstersessel,1,16 Feb 2021 at 8:27:34pm GMT,61,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
29,left hand corner sofa,7,24 Feb 2021 at 10:21:13pm GMT,204,54,£,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
30,schrank,7,27 Feb 2021 at 11:59:38am GMT,109.9,11.9,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
31,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",7,18 Jan 2021 at 7:37:43pm GMT,180,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
32,B-WARE Sessel Loungesessel Clubsessel Cocktailsessel Wildlederimitat Taupe,1,27 Jan 2021 at 10:08:00pm GMT,36.01,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
33,Badmöbel Badezimmermöbel Badezimmer Waschbecken Waschtisch Schrank Spiegel Set,10,20 Dec 2020 at 6:35:42pm GMT,189.88,1,EUR,"Home, Furniture & DIY>Furniture>Bathroom Furniture Sets",Furniture,Bathroom Furniture Sets
34,Vitra Alcove Highback Work Design Klassiker Homeoffice warmgrey Top Zustand!,5,5 Jan 2021 at 7:03:46pm GMT,995,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
35,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",5,4 Jan 2021 at 5:53:22pm GMT,175,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
36,2x Plia Castelli Stühle Chairs Klappstühle Design 70er,10,9 Jan 2021 at 7:26:56pm GMT,106,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
